Baltimore Vacant Buildings × BPD Arrests — Correlation Report
=================================================================

Pearson r = 0.6409  (n = 205 neighborhoods)
Interpretation: Moderate positive correlation: neighborhoods with more vacant buildings tend to have more arrests.

Neighborhood                         Vacants   Arrests        Ratio
West Arlington                            10       750        75.00
Parkway                                   10         7         0.70
Bayview                                    9       542        60.22
Ashburton                                  9       269        29.89
Lauraville                                 8       655        81.88
Oakenshawe                                 8       171        21.38
Arcadia                                    8       363        45.38
Butchers Hill                              8        15         1.88
Rognel Heights                             8       559        69.88
Hamilton Hills                             7      1532       218.86
Ednor Gardens-Lakeside                     7       480        68.57
Graceland Park                             7       927       132.43
Charles Village                            7       584        83.43
Loch Raven                                 7       650        92.86
Mid-Town Belvedere                         7       700       100.00
Kernewood                                  7       161        23.00
Kenilworth Park                            7       100        14.29
Glen                                       6       544        90.67
Liberty Square                             6       542        90.33
Mount Washington                           6       108        18.00
Hillen                                     6       384        64.00
Little Italy                               6       145        24.17
Remington                                  6       626       104.33
Cedmont                                    5       298        59.60
Westgate                                   5       179        35.80
Beechfield                                 5       347        69.40
Fairmount                                  5         7         1.40
Richnor Springs                            5       140        28.00
Mount Vernon                               5      4380       876.00
Broening Manor                             5       616       123.20
Seton Hill                                 4       545       136.25
Glen Oaks                                  4       293        73.25
Franklintown                               4       217        54.25
Fallstaff                                  4       187        46.75
Idlewood                                   4       123        30.75
Bolton Hill                                4       380        95.00
Westfield                                  4       390        97.50
Parkside                                   4       291        72.75
Greenmount West                            3       654       218.00
Orangeville                                3       371       123.67
Yale Heights                               3       255        85.00
Guilford                                   3       135        45.00
New Northwood                              3       685       228.33
Federal Hill                               3       607       202.33
Riverside                                  3       327       109.00
Sharp-Leadenhall                           3       347       115.67
Radnor-Winston                             3       185        61.67
Cedonia                                    3       445       148.33
Woodberry                                  3       143        47.67
Grove Park                                 3       225        75.00
Saint Paul                                 3        28         9.33
Fairfield Area                             3       632       210.67
South Baltimore                            2       327       163.50
Tremont                                    2       128        64.00
East Arlington                             2       235       117.50
Medford                                    2       306       153.00
Rosebank                                   2        67        33.50
Levindale                                  2       160        80.00
Carroll - Camden Industrial Area           2       974       487.00
Ramblewood                                 2       124        62.00
Perring Loch                               2       130        65.00
Clifton Park                               2      1078       539.00
Lake Walker                                2        77        38.50
Pleasant View Gardens                      2       216       108.00
Old Goucher                                2       768       384.00
Cameron Village                            2       146        73.00
Rosemont East                              2       224       112.00
Pulaski Industrial Area                    2      1166       583.00
Belvedere                                  2        44        22.00
Wyman Park                                 2        43        21.50
Ten Hills                                  2       112        56.00
Moravia-Walther                            2        76        38.00
Violetville                                2       305       152.50
Hunting Ridge                              2       297       148.50
Belair-Parkside                            2       264       132.00
Brewers Hill                               2       248       124.00
Cross Country                              2        52        26.00
Saint Helena                               2        86        43.00
Dunbar-Broadway                            2      1432       716.00
Locust Point                               1        68        68.00
Roland Park                                1        94        94.00
Orangeville Industrial Area                1       159       159.00
West Hills                                 1       152       152.00
Harbor East                                1        86        86.00
Keswick                                    1         2         2.00
Cheswolde                                  1        66        66.00
Saint Agnes                                1       109       109.00
Wilhelm Park                               1       102       102.00
Reisterstown Station                       1       830       830.00
Cedarcroft                                 1        23        23.00
Homeland                                   1       420       420.00
Evergreen                                  1        19        19.00
