X,Y,OBJECTID,Block,GroupStatus,DateUpdate,ID_PropertyStatus,ID_Demo_RFA,ID_Decision,CorePhase,ProjectedFiscalYear,ProjectedQuarter,DateStarted,Deconstruction,ReleasedToContractor,DateDemoFinished,Address,Lot,Neighborhood,SimplifiedStatus,Council_District,HousingMarketTypology2017,OBJECTID_1,BLOCKLOT
1413676.41019547,595180.458840728,11,0062,Final/Full Demo Complete,2016/03/01 12:06:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1010 N STRICKER ST,006,Sandtown-Winchester,Demo Complete,9,J,6593,0062 006
1413675.58670631,595196.937482312,12,0062,Final/Full Demo Complete,2016/03/01 12:06:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1012 N STRICKER ST,007,Sandtown-Winchester,Demo Complete,9,J,6594,0062 007
1413674.79241656,595212.670718566,13,0062,Final/Full Demo Complete,2016/03/01 12:06:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1014 N STRICKER ST,008,Sandtown-Winchester,Demo Complete,9,J,6595,0062 008
1413674.06177497,595227.655596733,14,0062,Final/Full Demo Complete,2016/03/01 12:07:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1016 N STRICKER ST,009,Sandtown-Winchester,Demo Complete,9,J,6596,0062 009
1413673.30226205,595242.633913234,15,0062,Final/Full Demo Complete,2016/03/01 12:07:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1018 N STRICKER ST,010,Sandtown-Winchester,Demo Complete,9,J,6597,0062 010
1413672.55652864,595257.615510553,16,0062,Final/Full Demo Complete,2016/03/01 12:08:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1020 N STRICKER ST,011,Sandtown-Winchester,Demo Complete,9,J,6598,0062 011
1413671.82227814,595272.09874931,17,0062,Final/Full Demo Complete,2016/03/01 12:08:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1022 N STRICKER ST,012,Sandtown-Winchester,Demo Complete,9,J,6599,0062 012
1413671.1300223,595286.080020562,18,0062,Final/Full Demo Complete,2016/03/01 12:08:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1024 N STRICKER ST,013,Sandtown-Winchester,Demo Complete,9,J,6600,0062 013
1413670.43415755,595300.061947972,19,0062,Final/Full Demo Complete,2016/03/01 12:08:00+00,,1254,47,,,,2016/07/12 00:00:00+00,,2016/11/09 00:00:00+00,2016/11/25 00:00:00+00,1026 N STRICKER ST,014,Sandtown-Winchester,Demo Complete,9,J,6601,0062 014
1411475.64327155,594190.361083388,20,0082,Final/Full Demo Complete,2016/07/16 10:01:00+00,,1835,90,,,,2016/04/09 00:00:00+00,,2016/08/25 00:00:00+00,2016/07/11 00:00:00+00,2014 W LANVALE ST,006,Midtown-Edmondson,Demo Complete,9,J,6621,0082 006
1425983.28092289,595120.12825273,21,1226,Final/Full Demo Complete,,,6069,90,,,,2022/02/01 00:00:00+00,,2022/05/12 00:00:00+00,2022/05/20 00:00:00+00,827 N SPRING ST,042,Gay Street,Demo Complete,12,G,6653,1226 042
1411868.06669931,595518.590382308,22,0049,Final/Full Demo Complete,2019/08/27 09:34:00+00,,3957,124,,FY21,Q4,2021/08/02 00:00:00+00,,2021/06/08 00:00:00+00,2021/08/19 00:00:00+00,1105 APPLETON ST,032,Midtown-Edmondson,Demo Complete,9,J,6735,0049 032
1411727.02728322,595496.77808997,23,0049,Final/Full Demo Complete,2018/03/22 16:40:00+00,128,1461,47,1,FY18,Q3,2018/01/26 00:00:00+00,Y,2018/01/03 00:00:00+00,2018/03/06 00:00:00+00,1102 APPLETON ST,036,Midtown-Edmondson,Demo Complete,9,J,6753,0049 036
1411726.13489655,595510.402734637,24,0049,Final/Full Demo Complete,2018/01/29 14:23:00+00,,1461,47,1,FY18,Q3,2018/01/26 00:00:00+00,Y,2018/01/03 00:00:00+00,2018/03/06 00:00:00+00,1104 APPLETON ST,037,Midtown-Edmondson,Demo Complete,9,J,6754,0049 037
1411725.26055448,595523.788206562,25,0049,Final/Full Demo Complete,2018/01/29 14:24:00+00,,1461,47,1,FY18,Q3,2018/01/26 00:00:00+00,Y,2018/01/03 00:00:00+00,2018/03/06 00:00:00+00,1106 APPLETON ST,038,Midtown-Edmondson,Demo Complete,9,J,6755,0049 038
1411979.58156814,595421.14405489,26,0049,Final/Full Demo Complete,2018/03/21 14:10:00+00,,3285,90,,,,2018/03/08 00:00:00+00,,2018/03/08 00:00:00+00,2018/04/09 00:00:00+00,1102 N MONROE ST,002,Midtown-Edmondson,Demo Complete,9,J,6790,0049 002
1411973.74299714,595433.729331553,27,0049,Final/Full Demo Complete,2019/05/22 15:20:00+00,,2866,47,,FY19,Q4,2019/05/22 00:00:00+00,,2019/05/29 00:00:00+00,2019/08/29 00:00:00+00,1104 N MONROE ST,003,Midtown-Edmondson,Demo Complete,9,J,6791,0049 003
1411973.08486196,595447.418936729,28,0049,Final/Full Demo Complete,2019/05/22 15:20:00+00,,2866,47,,FY19,Q4,2019/05/22 00:00:00+00,,2019/05/29 00:00:00+00,2019/08/29 00:00:00+00,1106 N MONROE ST,004,Midtown-Edmondson,Demo Complete,9,J,6792,0049 004
1411971.71314555,595475.696111143,29,0049,Final/Full Demo Complete,2019/05/22 15:21:00+00,,2866,47,,FY19,Q4,2019/05/22 00:00:00+00,,2019/05/29 00:00:00+00,2019/08/29 00:00:00+00,1110 N MONROE ST,006,Midtown-Edmondson,Demo Complete,9,J,6826,0049 006
1411971.04057471,595489.648839146,30,0049,Final/Full Demo Complete,2019/05/22 15:21:00+00,,2866,47,,FY19,Q4,2019/05/22 00:00:00+00,,2019/05/29 00:00:00+00,2019/08/29 00:00:00+00,1112 N MONROE ST,007,Midtown-Edmondson,Demo Complete,9,J,6827,0049 007
1411970.34569421,595503.802354142,31,0049,Final/Full Demo Complete,2019/05/22 15:22:00+00,,2866,47,,FY19,Q4,2019/05/22 00:00:00+00,,2019/05/29 00:00:00+00,2019/08/29 00:00:00+00,1114 N MONROE ST,008,Midtown-Edmondson,Demo Complete,9,J,6828,0049 008
1411723.42230356,595551.879029647,32,0049,Final/Full Demo Complete,2016/09/16 08:15:00+00,,2123,90,,,,2016/09/01 00:00:00+00,,2017/01/18 00:00:00+00,2016/10/14 00:00:00+00,1110 APPLETON ST,040,Midtown-Edmondson,Demo Complete,9,J,6844,0049 040
1411676.90008689,595606.667962059,33,0049 ,Final/Full Demo Complete,2022/04/13 13:03:00+00,,4201,124,Removed from 5- City to Demo,FY21,Q3,2024/11/11 00:00:00+00,N,2024/04/25 00:00:00+00,2025/02/06 00:00:00+00,1112 APPLETON ST,041,Midtown-Edmondson,Demo Complete,9,J,6845,0049 041
1412058.89637014,596404.079096898,34,0031,Final/Full Demo Complete,2016/01/21 12:13:00+00,,337,47,,,,2016/08/29 00:00:00+00,,2016/04/15 00:00:00+00,2016/09/08 00:00:00+00,1317 N MONROE ST,048,Sandtown-Winchester,Demo Complete,7,I,7053,0031 048
1412059.47510913,596392.376036316,35,0031,Final/Full Demo Complete,2016/01/21 12:13:00+00,,337,47,,,,2016/08/29 00:00:00+00,,2016/04/15 00:00:00+00,2016/09/08 00:00:00+00,1315 N MONROE ST,049,Sandtown-Winchester,Demo Complete,7,I,7073,0031 049
1412060.05023922,596380.891151145,36,0031,Final/Full Demo Complete,2016/01/21 12:13:00+00,,337,47,,,,2016/08/29 00:00:00+00,,2016/04/15 00:00:00+00,2016/09/08 00:00:00+00,1313 N MONROE ST,050,Sandtown-Winchester,Demo Complete,7,I,7074,0031 050
1415547.53899914,595949.540635899,37,0336,Final/Full Demo Complete,2017/02/26 00:28:00+00,,966,47,,,,2017/07/25 00:00:00+00,,2017/06/19 00:00:00+00,2017/08/17 00:00:00+00,1600 ARGYLE AVE,001,Upton,Demo Complete,9,J,7192,0336 001
1415458.86430772,595856.523433477,38,0336,Final/Full Demo Complete,2016/08/14 06:42:00+00,,934,47,,,,2016/06/16 00:00:00+00,,2016/03/24 00:00:00+00,2016/08/12 00:00:00+00,652 PITCHER ST,032,Upton,Demo Complete,9,J,7207,0336 032
1415467.57459214,595865.81278497,39,0336,Final/Full Demo Complete,2016/08/14 06:41:00+00,,934,47,,,,2016/06/16 00:00:00+00,,2016/03/24 00:00:00+00,2016/08/12 00:00:00+00,650 PITCHER ST,033,Upton,Demo Complete,9,J,7208,0336 033
1415476.60967906,595875.42989172,40,0336,Final/Full Demo Complete,2016/08/14 06:41:00+00,,934,47,,,,2016/06/16 00:00:00+00,,2016/03/24 00:00:00+00,2016/08/12 00:00:00+00,648 PITCHER ST,034,Upton,Demo Complete,9,J,7209,0336 034
1415485.44824405,595884.836697057,41,0336,Final/Full Demo Complete,2016/08/14 06:38:00+00,,934,47,,,,2016/06/16 00:00:00+00,,2016/03/24 00:00:00+00,2016/08/12 00:00:00+00,646 PITCHER ST,035,Upton,Demo Complete,9,J,7213,0336 035
1415494.20249164,595894.154919893,42,0336,Final/Full Demo Complete,2016/08/14 06:38:00+00,,934,47,,,,2016/06/16 00:00:00+00,,2016/03/24 00:00:00+00,2016/08/12 00:00:00+00,644 PITCHER ST,036,Upton,Demo Complete,9,J,7214,0336 036
1415502.98265781,595903.679507136,43,0336,Final/Full Demo Complete,2016/08/14 06:37:00+00,,934,47,,,,2016/06/16 00:00:00+00,,2016/03/24 00:00:00+00,2016/08/12 00:00:00+00,642 PITCHER ST,037,Upton,Demo Complete,9,J,7215,0336 037
1415512.21984406,595912.486904234,44,0336,Final/Full Demo Complete,2016/08/14 06:36:00+00,,934,47,,,,2016/06/16 00:00:00+00,,2016/03/24 00:00:00+00,2016/08/12 00:00:00+00,640 PITCHER ST,038,Upton,Demo Complete,9,J,7216,0336 038
1415521.34318538,595921.70210889,45,0336,Final/Full Demo Complete,2016/08/14 06:35:00+00,,934,47,,,,2016/06/16 00:00:00+00,,2016/03/24 00:00:00+00,2016/08/12 00:00:00+00,638 PITCHER ST,039,Upton,Demo Complete,9,J,7217,0336 039
1415529.8251238,595931.765737057,46,0336,Final/Full Demo Complete,2016/08/14 06:35:00+00,,934,47,,,,2016/06/16 00:00:00+00,,2016/03/24 00:00:00+00,2016/08/12 00:00:00+00,636 PITCHER ST,040,Upton,Demo Complete,9,J,7218,0336 040
1415538.61972564,595941.200429484,47,0336,Final/Full Demo Complete,2016/08/14 06:12:00+00,,934,47,,,,2016/06/16 00:00:00+00,,2016/03/24 00:00:00+00,2016/08/12 00:00:00+00,634 PITCHER ST,041,Upton,Demo Complete,9,J,7219,0336 041
1412515.86756906,594131.825439304,48,0096,Final/Full Demo Complete,,,4113,90,,,,2020/01/05 00:00:00+00,,2021/01/26 00:00:00+00,2020/03/04 00:00:00+00,746 N FULTON AVE,024,Harlem Park,Demo Complete,9,J,7243,0096 024
1412180.95747772,594013.020230725,49,0096,Final/Full Demo Complete,,,3968,90,,,,2019/09/06 00:00:00+00,,2019/11/05 00:00:00+00,2019/10/25 00:00:00+00,719 N MONROE ST,046,Harlem Park,Demo Complete,9,J,7259,0096 046
1412181.61003546,594000.020256728,50,0096,Final/Full Demo Complete,,,3968,90,,,,2019/09/06 00:00:00+00,,2019/11/05 00:00:00+00,2019/10/25 00:00:00+00,717 N MONROE ST,047,Harlem Park,Demo Complete,9,J,7260,0096 047
1412279.99993056,593888.884652227,51,0096 ,Final/Full Demo Complete,2020/02/08 14:19:00+00,,4189,124,5,FY21,Q3,2023/04/24 00:00:00+00,,2022/02/17 00:00:00+00,2023/09/27 00:00:00+00,1823 RAYNER AVE,083,Harlem Park,Demo Complete,9,J,7294,0096 083
1412267.01472031,593888.315099567,52,0096 ,Final/Full Demo Complete,2020/02/08 14:20:00+00,,4189,124,5,FY21,Q3,2023/04/24 00:00:00+00,,2022/02/17 00:00:00+00,2023/09/27 00:00:00+00,1825 RAYNER AVE,084,Harlem Park,Demo Complete,9,J,7295,0096 084
1412253.85759439,593887.73078315,53,0096 ,Final/Full Demo Complete,2020/02/08 14:25:00+00,,4189,124,5,FY21,Q3,2023/04/24 00:00:00+00,,2022/02/17 00:00:00+00,2023/09/27 00:00:00+00,1827 RAYNER AVE,085,Harlem Park,Demo Complete,9,J,7296,0096 085
1412240.98754139,593887.211427227,54,0096 ,Final/Full Demo Complete,2020/02/08 14:26:00+00,,4189,124,5,FY21,Q3,2023/04/24 00:00:00+00,,2022/02/17 00:00:00+00,2023/09/27 00:00:00+00,1829 RAYNER AVE,086,Harlem Park,Demo Complete,9,J,7297,0096 086
1412303.92048639,594005.748591721,55,0096 ,Final/Full Demo Complete,2020/02/08 14:41:00+00,,4190,124,5,FY21,Q3,2023/05/08 00:00:00+00,,2022/02/17 00:00:00+00,2023/10/16 00:00:00+00,1814 RAYNER AVE,093,Harlem Park,Demo Complete,9,J,7304,0096 093
1412317.17505306,594006.359154806,56,0096 ,Final/Full Demo Complete,2020/02/08 14:42:00+00,,4190,124,5,FY21,Q3,2023/05/08 00:00:00+00,,2022/02/17 00:00:00+00,2023/10/16 00:00:00+00,1812 RAYNER AVE,094,Harlem Park,Demo Complete,9,J,7305,0096 094
1412330.51000014,594006.972998723,57,0096 ,Final/Full Demo Complete,2020/02/08 14:53:00+00,,4190,124,5,FY21,Q3,2023/05/08 00:00:00+00,,2022/02/17 00:00:00+00,2023/10/16 00:00:00+00,1810 RAYNER AVE,095,Harlem Park,Demo Complete,9,J,7306,0096 095
1412343.88497339,594007.591107726,58,0096 ,Final/Full Demo Complete,2020/02/08 14:54:00+00,,4190,124,5,FY21,Q3,2023/05/08 00:00:00+00,,2022/02/17 00:00:00+00,2023/10/16 00:00:00+00,1808 RAYNER AVE,096,Harlem Park,Demo Complete,9,J,7307,0096 096
1412357.2527288,594008.194452971,59,0096 ,Final/Full Demo Complete,2020/02/08 15:02:00+00,,4190,124,5,FY21,Q3,2023/05/08 00:00:00+00,,2022/02/17 00:00:00+00,2023/10/16 00:00:00+00,1806 RAYNER AVE,097,Harlem Park,Demo Complete,9,J,7308,0096 097
1412370.8078198,594008.815842807,60,0096 ,Final/Full Demo Complete,2020/02/08 15:06:00+00,,4190,124,5,FY21,Q3,2023/05/08 00:00:00+00,,2022/02/17 00:00:00+00,2023/10/16 00:00:00+00,1804 RAYNER AVE,098,Harlem Park,Demo Complete,9,J,7309,0096 098
1412384.47249064,594009.451668307,61,0096 ,Final/Full Demo Complete,2020/02/08 15:09:00+00,,4190,124,5,FY21,Q3,2023/05/08 00:00:00+00,,2022/02/17 00:00:00+00,2023/10/16 00:00:00+00,1802 RAYNER AVE,099,Harlem Park,Demo Complete,9,J,7310,0096 099
1411497.45884472,593401.998486891,62,0106,Final/Full Demo Complete,2018/06/29 12:03:00+00,,3193,47,4,FY19,Q1,2019/07/15 00:00:00+00,,2018/08/31 00:00:00+00,2020/03/31 00:00:00+00,607 N BRICE ST,082,Midtown-Edmondson,Demo Complete,9,J,7314,0106 082
1411496.82433155,593415.312764734,63,0106,Final/Full Demo Complete,2018/02/04 15:20:00+00,,3193,47,4,FY19,Q1,2019/07/15 00:00:00+00,,2018/08/31 00:00:00+00,2020/03/31 00:00:00+00,609 N BRICE ST,083,Midtown-Edmondson,Demo Complete,9,J,7315,0106 083
1411496.19769239,593428.475468054,64,0106,Final/Full Demo Complete,2018/06/29 12:04:00+00,,3193,47,4,FY19,Q1,2019/07/15 00:00:00+00,,2018/08/31 00:00:00+00,2020/03/31 00:00:00+00,611 N BRICE ST,084,Midtown-Edmondson,Demo Complete,9,J,7316,0106 084
1411495.57039705,593441.517436728,65,0106,Final/Full Demo Complete,2018/02/04 15:20:00+00,,3193,47,4,FY19,Q1,2019/07/15 00:00:00+00,,2018/08/31 00:00:00+00,2020/03/31 00:00:00+00,613 N BRICE ST,085,Midtown-Edmondson,Demo Complete,9,J,7332,0106 085
1411494.94507022,593454.429812476,66,0106,Final/Full Demo Complete,2018/02/04 15:21:00+00,,3193,47,4,FY19,Q1,2019/07/15 00:00:00+00,,2018/08/31 00:00:00+00,2020/03/31 00:00:00+00,615 N BRICE ST,086,Midtown-Edmondson,Demo Complete,9,J,7333,0106 086
1411494.34041263,593467.263776317,67,0106,Final/Full Demo Complete,2018/02/04 15:25:00+00,,3193,47,4,FY19,Q1,2019/07/15 00:00:00+00,,2018/08/31 00:00:00+00,2020/03/31 00:00:00+00,617 N BRICE ST,087,Midtown-Edmondson,Demo Complete,9,J,7334,0106 087
1412788.1455678,594111.725741982,68,0097,Final/Full Demo Complete,2016/12/28 12:42:00+00,,2161,90,,,,2016/09/30 00:00:00+00,,2017/01/18 00:00:00+00,2016/10/21 00:00:00+00,1725 W LANVALE ST,026,Harlem Park,Demo Complete,9,J,7343,0097 026
1412233.89241122,597850.179879233,69,0014 ,Final/Full Demo Complete,2020/02/08 12:48:00+00,,4212,124,5,FY21,Q3,2023/07/05 00:00:00+00,,2022/02/17 00:00:00+00,2023/12/05 00:00:00+00,1651 MCKEAN AVE,054,Sandtown-Winchester,Demo Complete,7,J,7454,0014 054
1412233.1998273,597864.395073891,70,0014 ,Final/Full Demo Complete,2020/02/08 12:49:00+00,,4212,124,5,FY21,Q3,2023/07/05 00:00:00+00,,2022/02/17 00:00:00+00,2023/12/05 00:00:00+00,1653 MCKEAN AVE,055,Sandtown-Winchester,Demo Complete,7,J,7455,0014 055
1414474.96338838,595264.423239723,71,0064,Final/Full Demo Complete,2016/11/16 15:25:00+00,,2270,90,NA,,,2016/11/15 00:00:00+00,N,2017/01/20 00:00:00+00,2017/06/28 00:00:00+00,1008 N CAREY ST,054,Sandtown-Winchester,Demo Complete,9,H,7506,0064 054
1414888.6669573,595151.175434723,72,0065,Final/Full Demo Complete,,,4712,47,3,FY21,Q1,2021/04/01 00:00:00+00,,2021/11/19 00:00:00+00,2021/06/11 00:00:00+00,1200 MOSHER ST,001,Sandtown-Winchester,Demo Complete,9,I,7523,0065 001
1414839.80845922,595178.035617232,73,0065,Final/Full Demo Complete,2020/12/16 09:37:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1202 MOSHER ST,002,Sandtown-Winchester,Demo Complete,9,I,7524,0065 002
1414825.00960431,595177.000842392,74,0065,Final/Full Demo Complete,2017/10/12 15:11:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1204 MOSHER ST,003,Sandtown-Winchester,Demo Complete,9,I,7525,0065 003
1414811.06835923,595176.26560764,75,0065,Final/Full Demo Complete,2017/10/12 15:12:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1206 MOSHER ST,004,Sandtown-Winchester,Demo Complete,9,I,7526,0065 004
1414797.60185072,595175.514952973,76,0065,Final/Full Demo Complete,2020/12/16 09:38:00+00,131,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1208 MOSHER ST,005,Sandtown-Winchester,Demo Complete,9,I,7527,0065 005
1414784.40896372,595174.958523646,77,0065,Final/Full Demo Complete,2017/10/12 15:12:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1210 MOSHER ST,006,Sandtown-Winchester,Demo Complete,9,I,7528,0065 006
1414771.28989547,595174.171779811,78,0065,Final/Full Demo Complete,2020/12/16 09:41:00+00,0,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1212 MOSHER ST,007,Sandtown-Winchester,Demo Complete,9,I,7529,0065 007
1414758.00711364,595173.535298139,79,0065,Final/Full Demo Complete,2020/12/16 09:43:00+00,131,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1214 MOSHER ST,008,Sandtown-Winchester,Demo Complete,9,I,7530,0065 008
1414744.50550023,595172.843042314,80,0065,Final/Full Demo Complete,2018/05/13 11:11:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1216 MOSHER ST,009,Sandtown-Winchester,Demo Complete,9,I,7534,0065 009
1414731.12888655,595172.124539807,81,0065,Final/Full Demo Complete,2020/12/16 09:44:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1218 MOSHER ST,010,Sandtown-Winchester,Demo Complete,9,I,7535,0065 010
1414717.87694456,595171.453281313,82,0065,Final/Full Demo Complete,2017/10/12 15:16:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1220 MOSHER ST,011,Sandtown-Winchester,Demo Complete,9,I,7536,0065 011
1414704.60170864,595170.693440303,83,0065,Final/Full Demo Complete,2017/10/12 15:19:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1222 MOSHER ST,012,Sandtown-Winchester,Demo Complete,9,I,7537,0065 012
1414691.0984548,595170.123559564,84,0065,Final/Full Demo Complete,2017/10/12 15:19:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1224 MOSHER ST,013,Sandtown-Winchester,Demo Complete,9,I,7538,0065 013
1414677.85438681,595169.324348554,85,0065,Final/Full Demo Complete,2017/10/12 15:21:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1226 MOSHER ST,014,Sandtown-Winchester,Demo Complete,9,I,7539,0065 014
1414664.63361272,595168.696068972,86,0065,Final/Full Demo Complete,2017/10/12 15:22:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1228 MOSHER ST,015,Sandtown-Winchester,Demo Complete,9,I,7540,0065 015
1414651.2579833,595168.005453557,87,0065,Final/Full Demo Complete,2017/10/12 15:23:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1230 MOSHER ST,016,Sandtown-Winchester,Demo Complete,9,I,7541,0065 016
1414637.88563472,595167.305651814,88,0065,Final/Full Demo Complete,2017/10/12 15:23:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1232 MOSHER ST,017,Sandtown-Winchester,Demo Complete,9,I,7542,0065 017
1414624.50869296,595166.61864531,89,0065,Final/Full Demo Complete,2018/02/12 09:43:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1234 MOSHER ST,018,Sandtown-Winchester,Demo Complete,9,I,7543,0065 018
1414611.56941439,595165.969040304,90,0065,Final/Full Demo Complete,2020/12/16 09:53:00+00,,2695,47,3,FY22,Q1,2022/11/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/06/14 00:00:00+00,1236 MOSHER ST,019,Sandtown-Winchester,Demo Complete,9,I,7544,0065 019
1414597.71215864,595164.755788147,91,0065,Final/Full Demo Complete,,,6128,47,3,FY23,Q4,2022/12/09 00:00:00+00,N,2021/11/19 00:00:00+00,2023/03/21 00:00:00+00,1238 MOSHER ST,020,Sandtown-Winchester,Demo Complete,9,I,7545,0065 020
1414623.22621521,595217.566378057,92,0065,Final/Full Demo Complete,2016/04/14 15:22:00+00,,1827,90,,,,2016/04/08 00:00:00+00,,2016/06/13 00:00:00+00,2016/06/22 00:00:00+00,1011 N CAREY ST,021,Sandtown-Winchester,Demo Complete,9,I,7546,0065 021
