SRRecordID,SRType,SRStatus,CreatedDate,CloseDate,MethodReceived,Agency,PoliceDistrict,CouncilDistrict,Neighborhood,Latitude,Longitude
24-00000031,HCD-Sanitation Property,Closed,2024-01-18,2024-02-08,Phone,Housing & Community Development,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000032,TRM-Pothole,Closed,2024-01-18,2024-01-26,Online,Transportation,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000033,HCD-Rodent Complaint,Closed,2024-01-19,2024-02-14,Phone,Housing & Community Development,SOUTHERN,10,Brooklyn,39.2281,-76.6097
24-00000034,SW-Missed Trash,Closed,2024-01-20,2024-01-21,Online,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000035,BGE-Street Light,Closed,2024-01-20,2024-02-19,Phone,Transportation,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000036,TRM-Pothole,Closed,2024-01-21,2024-01-29,Online,Transportation,EASTERN,12,Oliver,39.2981,-76.5897
24-00000037,HCD-Sanitation Property,Closed,2024-01-22,2024-02-12,Phone,Housing & Community Development,SOUTHERN,10,Cherry Hill,39.2481,-76.6197
24-00000038,SW-Missed Trash,Closed,2024-01-22,2024-01-23,Phone,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000039,HCD-Rodent Complaint,Closed,2024-01-23,2024-02-16,Online,Housing & Community Development,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000040,TRM-Pothole,Closed,2024-01-23,2024-01-31,Phone,Transportation,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000041,BGE-Street Light,Closed,2024-01-24,2024-02-23,Online,Transportation,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000042,SW-Missed Trash,Closed,2024-01-25,2024-01-26,Phone,Public Works,SOUTHERN,10,Brooklyn,39.2281,-76.6097
24-00000043,HCD-Sanitation Property,Closed,2024-01-25,2024-02-18,Online,Housing & Community Development,EASTERN,12,Oliver,39.2981,-76.5897
24-00000044,TRM-Pothole,Closed,2024-01-26,2024-02-03,Phone,Transportation,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000045,SW-Missed Trash,Closed,2024-01-26,2024-01-27,Online,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000046,HCD-Rodent Complaint,Closed,2024-01-27,2024-02-20,Phone,Housing & Community Development,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000047,BGE-Street Light,Closed,2024-01-28,2024-02-27,Online,Transportation,SOUTHERN,10,Cherry Hill,39.2481,-76.6197
24-00000048,TRM-Pothole,Closed,2024-01-28,2024-02-05,Phone,Transportation,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000049,SW-Missed Trash,Closed,2024-01-29,2024-01-30,Phone,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000050,HCD-Sanitation Property,Closed,2024-01-30,2024-02-21,Online,Housing & Community Development,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000051,TRM-Pothole,Closed,2024-01-30,2024-02-07,Online,Transportation,EASTERN,12,Oliver,39.2981,-76.5897
24-00000052,BGE-Street Light,Closed,2024-01-31,2024-03-01,Phone,Transportation,SOUTHERN,10,Brooklyn,39.2281,-76.6097
24-00000053,SW-Missed Trash,Closed,2024-02-01,2024-02-02,Phone,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000054,HCD-Rodent Complaint,Closed,2024-02-01,2024-02-25,Online,Housing & Community Development,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000055,TRM-Pothole,Closed,2024-02-02,2024-02-10,Phone,Transportation,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000056,SW-Missed Trash,Closed,2024-02-02,2024-02-03,Online,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000057,HCD-Sanitation Property,Closed,2024-02-03,2024-02-25,Phone,Housing & Community Development,SOUTHERN,10,Cherry Hill,39.2481,-76.6197
24-00000058,BGE-Street Light,Closed,2024-02-04,2024-03-05,Online,Transportation,EASTERN,12,Oliver,39.2981,-76.5897
24-00000059,TRM-Pothole,Closed,2024-02-04,2024-02-12,Phone,Transportation,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000060,SW-Missed Trash,Closed,2024-02-05,2024-02-06,Phone,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000061,HCD-Rodent Complaint,Closed,2024-02-05,2024-03-01,Online,Housing & Community Development,SOUTHERN,10,Brooklyn,39.2281,-76.6097
24-00000062,TRM-Pothole,Closed,2024-02-06,2024-02-14,Phone,Transportation,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000063,SW-Missed Trash,Closed,2024-02-07,2024-02-08,Online,Public Works,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000064,HCD-Sanitation Property,Closed,2024-02-08,2024-03-01,Phone,Housing & Community Development,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000065,BGE-Street Light,Closed,2024-02-09,2024-03-10,Phone,Transportation,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000066,TRM-Pothole,Closed,2024-02-09,2024-02-17,Online,Transportation,EASTERN,12,Oliver,39.2981,-76.5897
24-00000067,SW-Missed Trash,Closed,2024-02-10,2024-02-11,Phone,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000068,HCD-Rodent Complaint,Closed,2024-02-10,2024-03-05,Online,Housing & Community Development,SOUTHERN,10,Cherry Hill,39.2481,-76.6197
24-00000069,TRM-Pothole,Closed,2024-02-11,2024-02-19,Phone,Transportation,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000070,BGE-Street Light,Closed,2024-02-11,2024-03-12,Online,Transportation,SOUTHERN,10,Brooklyn,39.2281,-76.6097
24-00000071,SW-Missed Trash,Closed,2024-02-12,2024-02-13,Phone,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000072,HCD-Sanitation Property,Closed,2024-02-12,2024-03-06,Online,Housing & Community Development,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000073,TRM-Pothole,Closed,2024-02-13,2024-02-21,Phone,Transportation,EASTERN,12,Oliver,39.2981,-76.5897
24-00000074,SW-Missed Trash,Closed,2024-02-14,2024-02-15,Online,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000075,HCD-Rodent Complaint,Closed,2024-02-14,2024-03-09,Phone,Housing & Community Development,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000076,TRM-Pothole,Closed,2024-02-15,2024-02-23,Online,Transportation,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000077,BGE-Street Light,Closed,2024-02-16,2024-03-17,Phone,Transportation,SOUTHERN,10,Cherry Hill,39.2481,-76.6197
24-00000078,SW-Missed Trash,Closed,2024-02-16,2024-02-17,Phone,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000079,HCD-Sanitation Property,Closed,2024-02-17,2024-03-11,Online,Housing & Community Development,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000080,TRM-Pothole,Closed,2024-02-18,2024-02-26,Phone,Transportation,SOUTHERN,10,Brooklyn,39.2281,-76.6097
24-00000081,SW-Missed Trash,Closed,2024-02-18,2024-02-19,Online,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000082,HCD-Rodent Complaint,Closed,2024-02-19,2024-03-14,Phone,Housing & Community Development,EASTERN,12,Oliver,39.2981,-76.5897
24-00000083,TRM-Pothole,Closed,2024-02-19,2024-02-27,Online,Transportation,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000084,BGE-Street Light,Closed,2024-02-20,2024-03-21,Phone,Transportation,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000085,SW-Missed Trash,Closed,2024-02-21,2024-02-22,Phone,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000086,HCD-Sanitation Property,Closed,2024-02-21,2024-03-15,Online,Housing & Community Development,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000087,TRM-Pothole,Closed,2024-02-22,2024-03-01,Phone,Transportation,SOUTHERN,10,Cherry Hill,39.2481,-76.6197
24-00000088,SW-Missed Trash,Closed,2024-02-22,2024-02-23,Online,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000089,HCD-Rodent Complaint,Closed,2024-02-23,2024-03-18,Phone,Housing & Community Development,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000090,TRM-Pothole,Closed,2024-02-24,2024-03-03,Online,Transportation,SOUTHERN,10,Brooklyn,39.2281,-76.6097
24-00000091,BGE-Street Light,Closed,2024-02-25,2024-03-26,Phone,Transportation,EASTERN,12,Oliver,39.2981,-76.5897
24-00000092,SW-Missed Trash,Closed,2024-02-25,2024-02-26,Phone,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000093,HCD-Sanitation Property,Closed,2024-02-26,2024-03-20,Online,Housing & Community Development,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000094,TRM-Pothole,Closed,2024-02-26,2024-03-05,Phone,Transportation,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000095,SW-Missed Trash,Closed,2024-02-27,2024-02-28,Online,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000096,HCD-Rodent Complaint,Closed,2024-02-28,2024-03-23,Phone,Housing & Community Development,SOUTHERN,10,Cherry Hill,39.2481,-76.6197
24-00000097,TRM-Pothole,Closed,2024-02-28,2024-03-07,Online,Transportation,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000098,BGE-Street Light,Closed,2024-02-29,2024-03-30,Phone,Transportation,SOUTHERN,10,Brooklyn,39.2281,-76.6097
24-00000099,SW-Missed Trash,Closed,2024-03-01,2024-03-02,Phone,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000100,HCD-Sanitation Property,Closed,2024-03-01,2024-03-25,Online,Housing & Community Development,EASTERN,12,Oliver,39.2981,-76.5897
24-00000101,TRM-Pothole,Closed,2024-03-02,2024-03-10,Phone,Transportation,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000102,SW-Missed Trash,Closed,2024-03-03,2024-03-04,Online,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000103,HCD-Rodent Complaint,Closed,2024-03-04,2024-03-28,Phone,Housing & Community Development,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000104,BGE-Street Light,Closed,2024-03-05,2024-04-03,Online,Transportation,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000105,TRM-Pothole,Closed,2024-03-06,2024-03-14,Phone,Transportation,SOUTHERN,10,Brooklyn,39.2281,-76.6097
24-00000106,SW-Missed Trash,Closed,2024-03-07,2024-03-08,Phone,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000107,HCD-Sanitation Property,Closed,2024-03-08,2024-03-30,Online,Housing & Community Development,EASTERN,12,Oliver,39.2981,-76.5897
24-00000108,TRM-Pothole,Closed,2024-03-09,2024-03-17,Phone,Transportation,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000109,BGE-Street Light,Closed,2024-03-10,2024-04-08,Online,Transportation,SOUTHERN,10,Cherry Hill,39.2481,-76.6197
24-00000110,SW-Missed Trash,Closed,2024-03-11,2024-03-12,Phone,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000111,HCD-Rodent Complaint,Closed,2024-03-12,2024-04-05,Phone,Housing & Community Development,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000112,TRM-Pothole,Closed,2024-03-13,2024-03-21,Online,Transportation,NORTHEASTERN,2,Belair-Edison,39.3108,-76.5697
24-00000113,SW-Missed Trash,Closed,2024-03-14,2024-03-15,Phone,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
24-00000114,HCD-Sanitation Property,Closed,2024-03-15,2024-04-06,Online,Housing & Community Development,SOUTHERN,10,Brooklyn,39.2281,-76.6097
24-00000115,BGE-Street Light,Closed,2024-03-16,2024-04-14,Phone,Transportation,EASTERN,12,Oliver,39.2981,-76.5897
24-00000116,TRM-Pothole,Closed,2024-03-17,2024-03-25,Online,Transportation,WESTERN,7,Sandtown-Winchester,39.2981,-76.6497
24-00000117,SW-Missed Trash,Closed,2024-03-18,2024-03-19,Phone,Public Works,NORTHERN,4,Roland Park,39.3608,-76.6297
24-00000118,HCD-Rodent Complaint,Closed,2024-03-19,2024-04-12,Phone,Housing & Community Development,SOUTHEASTERN,1,Canton,39.2881,-76.5597
24-00000119,TRM-Pothole,Closed,2024-03-20,2024-03-28,Online,Transportation,SOUTHERN,10,Cherry Hill,39.2481,-76.6197
24-00000120,SW-Missed Trash,Closed,2024-03-21,2024-03-22,Phone,Public Works,NORTHERN,14,Hampden,39.3308,-76.6397
