Neighborhood,request_count
Arcadia,1437
Barclay,4479
Belvedere,806
Beverly Hills,1149
Blythewood,38
Canton Industrial Area,1245
Cedarcroft,434
Central Park Heights,9358
Charles Village,7792
Coppin Heights/Ash-Co-East,3622
Dickeyville,190
Downtown West,665
Dunbar-Broadway,756
East Baltimore Midway,7064
Ellwood Park/Monument,4373
Federal Hill,4201
Fells Point,5261
Forest Park,1987
Franklin Square,5110
Franklintown Road,3893
Glen Oaks,2782
Graceland Park,2214
Greenmount West,2139
Greenspring,3861
Gwynns Falls/Leakin Park,579
Hamilton,4842
Hawkins Point,420
Hillen,2726
Johns Hopkins Homewood,489
Jones Falls Area,716
Kenilworth Park,2176
Kernewood,846
Kresson,1107
Lake Evesham,318
Lakeland,3078
Levindale,955
Madison Park,2581
Medford,1665
Middle Branch/Reedbird Parks,391
Mid-Govans,1817
Millhill,2690
Moravia-Walther,1223
Mosher,2839
Original Northwood,1060
Panway/Braddish Avenue,1506
Parklane,2060
Perring Loch,4863
Pleasant View Gardens,669
Purnell,205
Reisterstown Station,1285
Remington,4284
Richnor Springs,1609
Rognel Heights,1823
Roland Park,2883
Rosemont,4222
Rosemont East,1795
Rosemont Homeowners/Tenants,2193
Saint Helena,502
Seton Hill,1576
Stadium/Entertainment Area,421
Taylor Heights,224
Uplands,1260
Upper Fells Point,4537
West Forest Park,1862
West Hills,1637
Westfield,2572
Westgate,2075
Wilhelm Park,965
Winchester,2545
Winston-Govans,2236
Woodmere,3656
Wyman Park,1144
