RowID,CCNumber,CrimeDateTime,CrimeCode,Description,Inside_Outside,Weapon,Post,Gender,Age,Race,Ethnicity,Location,Old_District,New_District,Neighborhood,Latitude,Longitude,GeoLocation,PremiseType,Total_Incidents,x,y
13,14H12891,8/29/2014 3:30:00 PM,5A,BURGLARY,,NA,212,F,31,UNKNOWN,,2000 E LOMBARD ST,SOUTHEAST,N/A,BUTCHER'S HILL,39.290732166132173,-76.588676379044841,"(39.290732166132173,-76.588676379044841)",APT/CONDO - OCCUPIED,1,-76.5886763789999,39.2907321660001
14,14H13205,8/29/2014 10:00:00 PM,6D,LARCENY FROM AUTO,,NA,941,F,41,BLACK_OR_AFRICAN_AMERICAN,,1500 RIDGELY ST,SOUTHERN,N/A,CARROLL - CAMDEN INDUSTRIAL AREA,39.274721644553303,-76.628642356306955,"(39.274721644553303,-76.628642356306955)",STREET              ,1,-76.6286423559999,39.2747216450001
15,14H12904,8/29/2014 11:10:00 AM,5D,BURGLARY,,NA,531,M,31,WHITE,,3900 BEECH AVE,NORTHERN,N/A,ROLAND PARK,39.33617406288991,-76.62732750042494,"(39.33617406288991,-76.62732750042494)",SHED/GARAGE,1,-76.6273275,39.336174063
16,14H12705,8/29/2014 8:10:00 AM,3B,ROBBERY,,NA,223,M,13,UNKNOWN,,3800 E LOMBARD ST,SOUTHEAST,N/A,BALTIMORE HIGHLANDS,39.292116654113705,-76.565221158704915,"(39.292116654113705,-76.565221158704915)",STREET              ,1,-76.565221159,39.292116654
17,14I10014,9/22/2014 3:00:00 PM,6C,LARCENY,,NA,112,,,UNKNOWN,,200 E PRATT ST,CENTRAL,N/A,INNER HARBOR,39.286283856735494,-76.611407063212042,"(39.286283856735494,-76.611407063212042)",SPECIALTY STORE     ,1,-76.6114070629999,39.2862838570001
18,14I09794,9/22/2014 3:57:00 AM,8H,ARSON,,FIRE,913,M,23,BLACK_OR_AFRICAN_AMERICAN,,100 CAMBRIA ST,SOUTHERN,N/A,BROOKLYN,39.23772546113193,-76.609255125720551,"(39.23772546113193,-76.609255125720551)",OTHER - OUTSIDE     ,1,-76.6092551259999,39.237725461
19,14I12865,9/22/2014 3:00:00 PM,5C,BURGLARY,,NA,222,F,26,UNKNOWN,,100 N STREEPER ST,SOUTHEAST,N/A,PATTERSON PARK NEIGHBORHOOD,39.29435495807369,-76.577168248706855,"(39.29435495807369,-76.577168248706855)",ROW/TOWNHOUSE-OCC,1,-76.577168249,39.294354958
20,14I09795,9/22/2014 2:30:00 AM,5D,BURGLARY,,NA,434,,,UNKNOWN,,3900 ERDMAN AVE,NORTHEAST,N/A,BELAIR-EDISON,39.314019512037447,-76.569422254727044,"(39.314019512037447,-76.569422254727044)",BARBER/BEAUTY SHOP  ,1,-76.5694222549999,39.3140195120001
21,14I10112,9/22/2014 7:05:00 PM,4B,AGG. ASSAULT,,KNIFE,932,U,,UNKNOWN,,1100 WASHINGTON BLVD,SOUTHERN,N/A,WASHINGTON VILLAGE/PIGTOWN,39.282677263647379,-76.632623371374834,"(39.282677263647379,-76.632623371374834)",ROW/TOWNHOUSE-OCC,1,-76.632623371,39.282677264
22,14I10127,9/22/2014 8:30:00 AM,7A,AUTO THEFT,,NA,123,F,35,BLACK_OR_AFRICAN_AMERICAN,,600 PITCHER ST,CENTRAL,N/A,UPTON,39.303112977895744,-76.634229784401029,"(39.303112977895744,-76.634229784401029)",STREET              ,1,-76.634229784,39.3031129780001
23,14I09771,9/22/2014 1:10:00 AM,3K,ROBBERY,,NA,531,F,29,WHITE,,700 W 34TH ST,NORTHERN,N/A,HAMPDEN,39.328553372832943,-76.628449037407449,"(39.328553372832943,-76.628449037407449)",PORCH/DECK          ,1,-76.6284490369999,39.328553373
24,14I09932,9/22/2014 11:03:00 AM,3NF,ROBBERY,,FIREARM,523,F,23,BLACK_OR_AFRICAN_AMERICAN,,5900 YORK RD,NORTHERN,N/A,ROSEBANK,39.362947409860531,-76.610214305292999,"(39.362947409860531,-76.610214305292999)",OTHER - INSIDE      ,1,-76.6102143049999,39.3629474100001
25,14I09860,9/22/2014 2:00:00 AM,5A,BURGLARY,,NA,221,M,25,WHITE,,2300 MCELDERRY ST,SOUTHEAST,N/A,MCELDERRY PARK,39.297515891090995,-76.584196821599434,"(39.297515891090995,-76.584196821599434)",ROW/TOWNHOUSE-OCC,1,-76.584196822,39.297515891
26,14I10352,9/22/2014 7:00:00 PM,3AF,ROBBERY,,FIREARM,213,M,14,BLACK_OR_AFRICAN_AMERICAN,,700 S CAROLINE ST,SOUTHEAST,N/A,FELLS POINT,39.283062281820179,-76.596824382504508,"(39.283062281820179,-76.596824382504508)",STREET              ,1,-76.596824383,39.2830622820001
27,14I10582,9/22/2014 3:45:00 PM,3B,ROBBERY,,NA,,M,14,BLACK_OR_AFRICAN_AMERICAN,,1 -BLK N PULASKI ST,,N/A,,0,0,"(0,0)",STREET              ,1,5.6843418860808E-14,5.6843418860808E-14
28,14I10120,9/22/2014 5:30:00 PM,4D,AGG. ASSAULT,,HANDS,444,F,20,BLACK_OR_AFRICAN_AMERICAN,,5400 MAYVIEW AVE,NORTHEAST,N/A,FRANKFORD,39.333017812934855,-76.545428228685807,"(39.333017812934855,-76.545428228685807)",PORCH/DECK          ,1,-76.545428229,39.333017813
29,14I09965,9/22/2014 11:00:00 AM,7A,AUTO THEFT,,NA,613,M,44,BLACK_OR_AFRICAN_AMERICAN,,4400 REISTERSTOWN RD,NORTHWEST,N/A,CENTRAL PARK HEIGHTS,39.339401446528342,-76.667942240926081,"(39.339401446528342,-76.667942240926081)",PARKING LOT-OUTSIDE ,1,-76.6679422409999,39.3394014470001
30,14I10273,9/22/2014 6:45:00 PM,6D,LARCENY FROM AUTO,,NA,835,F,58,BLACK_OR_AFRICAN_AMERICAN,,300 S MOUNT OLIVET LN,SOUTHWEST,N/A,CARROLL-SOUTH HILTON,39.28224162363211,-76.668249105057953,"(39.28224162363211,-76.668249105057953)",STREET              ,1,-76.668249105,39.2822416240001
31,14I09870,9/22/2014 9:00:00 AM,3K,ROBBERY,,NA,711,F,24,BLACK_OR_AFRICAN_AMERICAN,,1800 W BALTIMORE ST,WESTERN,N/A,FRANKLIN SQUARE,39.288363854230553,-76.646475036341158,"(39.288363854230553,-76.646475036341158)",ROW/TOWNHOUSE-OCC,1,-76.646475036,39.2883638540001
32,15D01746,4/4/2015 9:50:00 PM,4E,COMMON ASSAULT,,NA,232,M,53,WHITE,,6300 EASTERN AVE,SOUTHEAST,N/A,PULASKI INDUSTRIAL AREA,39.287489933517719,-76.539591372866866,"(39.287489933517719,-76.539591372866866)",STREET              ,1,-76.539591373,39.2874899340001
33,15D01758,4/4/2015 10:15:00 PM,4C,AGG. ASSAULT,,OTHER,632,F,43,WHITE,,4000 PRIMROSE AVE,NORTHWEST,N/A,GLEN,39.351209525534678,-76.693541911683027,"(39.351209525534678,-76.693541911683027)",APT/CONDO - OCCUPIED,1,-76.6935419119999,39.351209526
34,15D01727,4/4/2015 8:33:00 PM,6C,LARCENY,,NA,611,,,UNKNOWN,,3200 TIOGA PKWY,NORTHWEST,N/A,MONDAWMIN,39.318478779358131,-76.657370554597534,"(39.318478779358131,-76.657370554597534)",OTHER - INSIDE      ,1,-76.6573705549999,39.318478779
35,15D01611,4/4/2015 2:00:00 PM,4C,AGG. ASSAULT,,OTHER,445,F,18,BLACK_OR_AFRICAN_AMERICAN,,5900 WILLET AVE,NORTHEAST,N/A,CEDMONT,39.344195186795481,-76.534363968257281,"(39.344195186795481,-76.534363968257281)",ROW/TOWNHOUSE-OCC,1,-76.534363968,39.344195187
36,15A00026,1/1/2015 11:15:00 PM,7A,AUTO THEFT,,NA,333,F,32,BLACK_OR_AFRICAN_AMERICAN,,800 N PORT ST,EASTERN,N/A,MILTON-MONTFORD,39.300255613888659,-76.583235529882714,"(39.300255613888659,-76.583235529882714)",STREET              ,1,-76.58323553,39.300255614
37,15A00367,1/1/2015 8:50:00 PM,6C,LARCENY,,NA,631,,,UNKNOWN,,6600 REISTERSTOWN RD,NORTHWEST,N/A,REISTERSTOWN STATION,39.356310392841344,-76.706548742843651,"(39.356310392841344,-76.706548742843651)",GROCERY/CONFECTION ,1,-76.706548743,39.3563103930001
38,15A00403,1/1/2015 11:18:00 PM,4E,COMMON ASSAULT,,NA,314,M,1,BLACK_OR_AFRICAN_AMERICAN,,1700 BROADWAY,EASTERN,N/A,BROADWAY EAST,39.309929556874913,-76.594649422145039,"(39.309929556874913,-76.594649422145039)",ROW/TOWNHOUSE-OCC,1,-76.594649422,39.309929557
39,15A00345,1/1/2015 2:20:00 PM,6D,LARCENY FROM AUTO,,NA,312,F,53,BLACK_OR_AFRICAN_AMERICAN,,2300 KIRK AVE,EASTERN,N/A,EAST BALTIMORE MIDWAY,39.316638684260361,-76.604122386181359,"(39.316638684260361,-76.604122386181359)",STREET              ,1,-76.604122386,39.3166386840001
40,15A00773,1/1/2015 9:10:00 PM,3AJF,ROBBERY - CARJACKING,,FIREARM,423,,,UNKNOWN,,2500 ECHODALE AVE,NORTHEAST,N/A,HAMILTON HILLS,39.353100988096521,-76.568005685980708,"(39.353100988096521,-76.568005685980708)",STREET              ,1,-76.5680056859999,39.3531009880001
41,15A00155,1/1/2015 11:30:00 AM,6A,LARCENY,,NA,731,M,13,BLACK_OR_AFRICAN_AMERICAN,,2000 W NORTH AVE,WESTERN,N/A,EASTERWOOD,39.309434929763825,-76.65109704483443,"(39.309434929763825,-76.65109704483443)",OTHER - INSIDE      ,1,-76.651097045,39.3094349300001
42,15A00373,1/1/2015 8:20:00 PM,4C,AGG. ASSAULT,,OTHER,314,F,19,BLACK_OR_AFRICAN_AMERICAN,,1500 E FEDERAL ST,EASTERN,N/A,OLIVER,39.30855973477675,-76.597730530219664,"(39.30855973477675,-76.597730530219664)",OTHER/RESIDENTIAL,1,-76.59773053,39.3085597350001
43,15A00865,1/1/2015 8:00:00 PM,6G,LARCENY,,NA,233,F,30,BLACK_OR_AFRICAN_AMERICAN,,4800 EASTERN AVE,SOUTHEAST,N/A,PULASKI INDUSTRIAL AREA,39.287234871425852,-76.555197110747628,"(39.287234871425852,-76.555197110747628)",HOSP/NURS. HOME,1,-76.555197111,39.2872348710001
44,15A00042,1/1/2015 2:15:00 AM,4C,AGG. ASSAULT,,OTHER,911,M,54,UNKNOWN,,1600 CYPRESS ST,SOUTHERN,N/A,CURTIS BAY,39.223802646673406,-76.5882578503644,"(39.223802646673406,-76.5882578503644)",STREET              ,1,-76.5882578499999,39.2238026470001
45,15A00178,1/1/2015 11:23:00 AM,3B,ROBBERY,,NA,712,M,53,BLACK_OR_AFRICAN_AMERICAN,,0 N CARROLLTON AVE,WESTERN,N/A,POPPLETON,39.288681568070153,-76.636664840475433,"(39.288681568070153,-76.636664840475433)",STREET              ,1,-76.63666484,39.2886815680001
46,15A00073,1/1/2015 3:50:00 AM,4E,COMMON ASSAULT,,NA,111,F,22,WHITE,,100 E REDWOOD ST,CENTRAL,N/A,DOWNTOWN,39.289024000334159,-76.612791998822246,"(39.289024000334159,-76.612791998822246)",HOTEL/MOTEL         ,1,-76.612791999,39.289024
47,14H13052,8/29/2014 11:02:00 PM,4C,AGG. ASSAULT,,OTHER,923,M,32,BLACK_OR_AFRICAN_AMERICAN,,2600 WEGWORTH LN,SOUTHERN,N/A,LAKELAND,39.25452420020428,-76.644233789153759,"(39.25452420020428,-76.644233789153759)",ROW/TOWNHOUSE-OCC,1,-76.6442337889999,39.2545242
48,14H13222,8/29/2014 9:00:00 PM,6D,LARCENY FROM AUTO,,NA,432,M,57,BLACK_OR_AFRICAN_AMERICAN,,3500 BRENDAN AVE,NORTHEAST,N/A,BELAIR-EDISON,39.318605987550946,-76.567710096688032,"(39.318605987550946,-76.567710096688032)",OTHER - INSIDE      ,1,-76.567710097,39.3186059880001
49,14H12999,8/29/2014 8:30:00 PM,6B,LARCENY,,NA,114,F,21,BLACK_OR_AFRICAN_AMERICAN,,200 N HOWARD ST,CENTRAL,N/A,DOWNTOWN,39.291592533255169,-76.619648258350182,"(39.291592533255169,-76.619648258350182)",STREET              ,1,-76.619648258,39.291592533
50,14H11482,8/24/2014 5:00:00 PM,6D,LARCENY FROM AUTO,,NA,724,F,71,BLACK_OR_AFRICAN_AMERICAN,,1200 MOSHER ST,WESTERN,N/A,SANDTOWN-WINCHESTER,39.300263718987658,-76.63762179232161,"(39.300263718987658,-76.63762179232161)",STREET              ,1,-76.6376217919999,39.300263719
51,14H10754,8/24/2014 9:30:00 PM,7C,AUTO THEFT,,NA,712,M,34,BLACK_OR_AFRICAN_AMERICAN,,1000 W LEXINGTON ST,WESTERN,N/A,POPPLETON,39.290849590397684,-76.634036081068516,"(39.290849590397684,-76.634036081068516)",STREET              ,1,-76.634036081,39.2908495900001
52,14H10600,8/24/2014 7:30:00 PM,4E,COMMON ASSAULT,,NA,321,M,28,BLACK_OR_AFRICAN_AMERICAN,,2000 E MADISON ST,EASTERN,N/A,MIDDLE EAST,39.299781980355867,-76.58919156762623,"(39.299781980355867,-76.58919156762623)",STREET              ,1,-76.589191568,39.29978198
53,14H10613,8/24/2014 7:45:00 PM,6C,LARCENY,,NA,,,,UNKNOWN,,1200 PONCA ST,,N/A,,0,0,"(0,0)",CONVENIENCE STORE,1,5.6843418860808E-14,5.6843418860808E-14
54,14H10390,8/24/2014 7:03:00 AM,4B,AGG. ASSAULT,,KNIFE,134,F,52,BLACK_OR_AFRICAN_AMERICAN,,1900 MARYLAND AVE,CENTRAL,N/A,CHARLES NORTH,39.311390652234678,-76.618136942678049,"(39.311390652234678,-76.618136942678049)",OTHER - INSIDE      ,1,-76.618136943,39.3113906520001
55,14H10582,8/24/2014 6:06:00 PM,4C,AGG. ASSAULT,,OTHER,731,F,17,BLACK_OR_AFRICAN_AMERICAN,,2100 N FULTON AVE,WESTERN,N/A,MONDAWMIN,39.312096063618085,-76.646806614047222,"(39.312096063618085,-76.646806614047222)",STREET              ,1,-76.646806614,39.3120960640001
56,14H10363,8/24/2014 4:00:00 AM,4E,COMMON ASSAULT,,NA,534,F,42,BLACK_OR_AFRICAN_AMERICAN,,100 W 39TH ST,NORTHERN,N/A,TUSCANY-CANTERBURY,39.336127945716996,-76.620758388801136,"(39.336127945716996,-76.620758388801136)",STREET              ,1,-76.6207583889999,39.336127946
57,14H11560,8/24/2014 3:00:00 PM,6J,LARCENY,,NA,731,,,UNKNOWN,,1900 N FULTON AVE,WESTERN,N/A,MONDAWMIN,39.310474494015907,-76.646725256627263,"(39.310474494015907,-76.646725256627263)",ROW/TOWNHOUSE-OCC,1,-76.646725257,39.3104744940001
58,14H10381,8/24/2014 6:46:00 AM,4B,AGG. ASSAULT,,KNIFE,212,M,33,BLACK_OR_AFRICAN_AMERICAN,,200 N SPRING CT,SOUTHEAST,N/A,DUNBAR-BROADWAY,39.293898754680939,-76.597509492070174,"(39.293898754680939,-76.597509492070174)",ROW/TOWNHOUSE-OCC,1,-76.597509492,39.293898755
59,14H10659,8/24/2014 7:30:00 PM,6D,LARCENY FROM AUTO,,NA,511,M,33,WHITE,,200 W 26TH ST,NORTHERN,N/A,REMINGTON,39.319458752167179,-76.619934068686959,"(39.319458752167179,-76.619934068686959)",STREET              ,1,-76.619934069,39.3194587520001
60,14H10591,8/24/2014 7:10:00 PM,8AO,ARSON,,FIRE,413,F,33,BLACK_OR_AFRICAN_AMERICAN,,1400 COLD SPRING LA,NORTHEAST,N/A,NEW NORTHWOOD,39.346163151836777,-76.593912538704615,"(39.346163151836777,-76.593912538704615)",ROW/TOWNHOUSE-OCC,1,-76.593912539,39.346163152
61,14H10593,8/24/2014 6:35:00 PM,6D,LARCENY FROM AUTO,,NA,413,F,38,BLACK_OR_AFRICAN_AMERICAN,,5300 LEITH RD,NORTHEAST,N/A,NEW NORTHWOOD,39.354166990936847,-76.591111939583797,"(39.354166990936847,-76.591111939583797)",PARKING LOT-OUTSIDE ,1,-76.59111194,39.3541669910001
62,15B04206,2/11/2015 12:01:00 AM,4E,COMMON ASSAULT,,NA,611,F,36,WHITE,,2800 N DUKELAND ST,NORTHWEST,N/A,HANLON-LONGWOOD,39.317902886643004,-76.66431494603826,"(39.317902886643004,-76.66431494603826)",SCHOOL              ,1,-76.6643149459999,39.3179028870001
63,15B04087,2/11/2015 10:14:00 AM,4B,AGG. ASSAULT,,KNIFE,613,M,35,BLACK_OR_AFRICAN_AMERICAN,,5000 REISTERSTOWN RD,NORTHWEST,N/A,LUCILLE PARK,39.341365451437497,-76.680003744450474,"(39.341365451437497,-76.680003744450474)",OTHER - INSIDE      ,1,-76.680003744,39.3413654510001
64,15B04518,2/11/2015 6:00:00 PM,6D,LARCENY FROM AUTO,,NA,414,M,79,BLACK_OR_AFRICAN_AMERICAN,,5600 WOODMONT AVE,NORTHEAST,N/A,WOODBOURNE HEIGHTS,39.359980788048645,-76.59120067686888,"(39.359980788048645,-76.59120067686888)",STREET              ,1,-76.591200677,39.359980788
65,15B04421,2/11/2015 9:00:00 PM,5B,BURGLARY,,NA,444,M,58,WHITE,,5600 ANTHONY AVE,NORTHEAST,N/A,FRANKFORD,39.338176590214786,-76.544585252929579,"(39.338176590214786,-76.544585252929579)",ROW/TOWNHOUSE-OCC,1,-76.544585253,39.33817659
66,15B04409,2/11/2015 9:45:00 PM,4E,COMMON ASSAULT,,NA,824,M,75,BLACK_OR_AFRICAN_AMERICAN,,100 ALLENDALE ST,SOUTHWEST,N/A,ALLENDALE,39.289922075737827,-76.678414458547394,"(39.289922075737827,-76.678414458547394)",ROW/TOWNHOUSE-OCC,1,-76.678414459,39.289922076
67,15B04276,2/11/2015 6:30:00 AM,7A,AUTO THEFT,,NA,623,M,34,BLACK_OR_AFRICAN_AMERICAN,,3100 GARRISON BLVD,NORTHWEST,N/A,CONCERNED CITIZENS OF FOREST PARK,39.32331986269616,-76.681468435636617,"(39.32331986269616,-76.681468435636617)",STREET              ,1,-76.681468436,39.3233198630001
68,15B04109,2/11/2015 9:50:00 AM,4D,AGG. ASSAULT,,HANDS,625,F,18,BLACK_OR_AFRICAN_AMERICAN,,3900 DOLFIELD AVE,NORTHWEST,N/A,DOLFIELD,39.340447229932444,-76.682949020950772,"(39.340447229932444,-76.682949020950772)",ROW/TOWNHOUSE-OCC,1,-76.682949021,39.3404472300001
69,15B04089,2/11/2015 9:00:00 AM,5B,BURGLARY,,NA,314,F,27,BLACK_OR_AFRICAN_AMERICAN,,1200 AISQUITH ST,EASTERN,N/A,OLIVER,39.304731029377059,-76.602404806304378,"(39.304731029377059,-76.602404806304378)",ROW/TOWNHOUSE-OCC,1,-76.602404806,39.304731029
70,15B04106,2/11/2015 10:10:00 AM,6D,LARCENY FROM AUTO,,NA,132,F,61,BLACK_OR_AFRICAN_AMERICAN,,1300 EUTAW PL,CENTRAL,N/A,BOLTON HILL,39.304381824505832,-76.626136082674066,"(39.304381824505832,-76.626136082674066)",STREET              ,1,-76.6261360829999,39.3043818250001
71,15B03987,2/11/2015 1:12:00 AM,6C,LARCENY,,NA,114,,,UNKNOWN,,400 W MULBERRY ST,CENTRAL,N/A,DOWNTOWN,39.293693570513952,-76.622217544907201,"(39.293693570513952,-76.622217544907201)",GAS STATION         ,1,-76.622217545,39.2936935710001
72,15B03973,2/11/2015 12:05:00 AM,3CF,ROBBERY - COMMERCIAL,,FIREARM,935,,,UNKNOWN,,1700 WASHINGTON BLVD,SOUTHERN,N/A,CARROLL - CAMDEN INDUSTRIAL AREA,39.275405145639468,-76.641684345161195,"(39.275405145639468,-76.641684345161195)",CONVENIENCE STORE,1,-76.641684345,39.275405146
73,15B04565,2/11/2015 10:00:00 AM,6J,LARCENY,,NA,831,M,35,BLACK_OR_AFRICAN_AMERICAN,,1700 SEXTON ST,SOUTHWEST,N/A,MORRELL PARK,39.268213907562149,-76.652353839168882,"(39.268213907562149,-76.652353839168882)",ROW/TOWNHOUSE-OCC,1,-76.6523538389999,39.2682139080001
74,15B04018,2/11/2015 5:58:00 AM,4E,COMMON ASSAULT,,NA,532,M,57,BLACK_OR_AFRICAN_AMERICAN,,2500 W BELVEDERE AVE,NORTHERN,N/A,LEVINDALE,39.352530770844368,-76.66656718460311,"(39.352530770844368,-76.66656718460311)",HOSP/NURS. HOME,1,-76.666567185,39.352530771
75,15B03897,2/10/2015 8:00:00 PM,6C,LARCENY,,NA,731,,,UNKNOWN,,2000 W NORTH AVE,WESTERN,N/A,MONDAWMIN,39.309903787735962,-76.650112022023436,"(39.309903787735962,-76.650112022023436)",SPECIALTY STORE     ,1,-76.650112022,39.309903788
76,15B03813,2/10/2015 8:30:00 AM,6G,LARCENY,,NA,111,F,67,BLACK_OR_AFRICAN_AMERICAN,,300 SAINT PAUL ST,CENTRAL,N/A,DOWNTOWN,39.293416235829163,-76.613069563741846,"(39.293416235829163,-76.613069563741846)",HOSP/NURS. HOME,1,-76.6130695639999,39.293416236
77,14I09820,9/22/2014 9:10:00 AM,6B,LARCENY,,NA,314,F,17,BLACK_OR_AFRICAN_AMERICAN,,1200 E LAFAYETTE AVE,EASTERN,N/A,OLIVER,39.310212874056752,-76.602367657074296,"(39.310212874056752,-76.602367657074296)",STREET              ,1,-76.6023676569999,39.3102128740001
78,14I10595,9/22/2014 10:00:00 AM,6F,LARCENY,,NA,943,M,38,WHITE,,1000 HULL ST,SOUTHERN,N/A,LOCUST POINT INDUSTRIAL AREA,39.275712035213672,-76.592020087323505,"(39.275712035213672,-76.592020087323505)",OTHER - OUTSIDE     ,1,-76.592020087,39.275712035
79,14I09998,9/22/2014 2:10:00 PM,4E,COMMON ASSAULT,,NA,943,M,17,BLACK_OR_AFRICAN_AMERICAN,,1100 COVINGTON ST,SOUTHERN,N/A,RIVERSIDE,39.275507638276004,-76.607077366010742,"(39.275507638276004,-76.607077366010742)",SCHOOL              ,1,-76.6070773659999,39.2755076380001
80,14I10003,9/22/2014 1:30:00 PM,6D,LARCENY FROM AUTO,,NA,312,M,28,BLACK_OR_AFRICAN_AMERICAN,,2000 KENNEDY AVE,EASTERN,N/A,EAST BALTIMORE MIDWAY,39.31370033889047,-76.603691055047534,"(39.31370033889047,-76.603691055047534)",STREET              ,1,-76.603691055,39.313700339
81,14I09932,9/22/2014 11:03:00 AM,3NF,ROBBERY,,FIREARM,523,F,23,BLACK_OR_AFRICAN_AMERICAN,,5900 YORK RD,NORTHERN,N/A,ROSEBANK,39.362947409860531,-76.610214305292999,"(39.362947409860531,-76.610214305292999)",OTHER - INSIDE      ,1,-76.6102143049999,39.3629474100001
82,14I11523,9/22/2014 6:00:00 PM,6G,LARCENY,,NA,444,F,42,BLACK_OR_AFRICAN_AMERICAN,,4200 LASALLE AVE,NORTHEAST,N/A,FRANKFORD,39.338357464392416,-76.550379178053831,"(39.338357464392416,-76.550379178053831)",ROW/TOWNHOUSE-OCC,1,-76.550379178,39.3383574640001
83,14I12466,9/22/2014 8:00:00 AM,5A,BURGLARY,,NA,624,F,49,UNKNOWN,,3200 GWYNNS FALLS PKWY,NORTHWEST,N/A,WALBROOK,39.314013473506513,-76.672327140149889,"(39.314013473506513,-76.672327140149889)",ROW/TOWNHOUSE-VAC,1,-76.6723271399999,39.314013474
84,14I08077,9/18/2014 9:30:00 AM,4C,AGG. ASSAULT,,OTHER,443,F,53,WHITE,,5000 MORAVIA RD,NORTHEAST,N/A,FRANKFORD,39.325029472612229,-76.55119750389963,"(39.325029472612229,-76.55119750389963)",SCHOOL              ,1,-76.551197504,39.325029473
