FID,RowID_,SRRecordID,ServiceReq,SRType,MethodRece,CreatedDat,SRStatus,StatusDate,DueDate,CloseDate,Agency,LastActivi,LastActi_1,Outcome,Address,ZipCode,Neighborho,CouncilDis,PoliceDist,PolicePost,Latitude,Longitude,GeoLocatio,NeedsSync,IsDeleted,HashedReco,timetoclose
11,1025273,5004w00002pkbcaAAA,24-00284153,SW-Dirty Alley,Email,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"300 N EDGEWOOD ST, Baltimore City, 21229",21229,Allendale,8,Southwestern,821,39.291319917884692,-76.675670272357493,"(39.291319917884692, -76.675670272357493)",0,0,pH9n3qQfJ9mTrds/57/sN/gk9vugC1nDwXGFknC37lY=,2
12,1025289,5004w00002pkbdiAAA,24-00284162,SW-Dirty Alley,Email,1712188800000,Closed,1712534400000,1713139200000,1712534400000,Solid Waste,Service Response,1712534400000,Work completed,"300 BLK GWYNN AVE, Baltimore City, 21229",21229,Allendale,8,Southwestern,821,39.291458634790303,-76.673698144483865,"(39.291458634790303, -76.673698144483865)",0,0,NlthULaMApckEdwwWCyquOK0FdeeQCSU9WyaoNGNKDc=,4
13,1025302,5004w00002pkbEdAAI,24-00283995,SW-Dirty Alley,Phone,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"3300 PIEDMONT AVE, Baltimore City, 21216",21216,Hanlon-Longwood,7,Northwestern,613,39.316577179200131,-76.672956720832047,"(39.316577179200131, -76.672956720832047)",0,0,01ujjcOBVM8LAjTkKGaB1sdbDxvjEgSmVfgiKvS59dU=,2
14,1025304,5004w00002pkbegAAA,24-00284169,SW-Dirty Street,Email,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work could not be completed,"1900 EAGLE DR, Baltimore City, 21207",21207,Franklintown,8,Northwestern,611,39.304899224218524,-76.700433013973992,"(39.304899224218524, -76.700433013973992)",0,0,39kNCadR422LIuEC1yVzlYw6e9+ylljCoYKBoLdeX2Q=,2
15,1025320,5004w00002pkbfPAAQ,24-00284172,SW-Dirty Street,Email,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,SR assessed and no cause for action determined,"3100 BELMONT AVE, Baltimore City, 21216",21216,Rosemont,9,Northwestern,615,39.303529080262358,-76.669171730190740,"(39.303529080262358, -76.669171730190740)",0,0,lAETPjpHcY5GFF0IM8wEEEK3TMk4ciAdLnNJNOzA1ss=,2
16,1025333,5004w00002pkbgIAAQ,24-00284179,SW-Dirty Alley,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"400 BLK N LUZERNE-GLOVER, Baltimore City, 21224",21224,McElderry Park,13,Southeastern,224,39.296401125310275,-76.580337263822869,"(39.296401125310275, -76.580337263822869)",0,0,1SWsC/Bim8oc6J/8YTSrYisjM/KndqBax/nBS5M2/RQ=,2
17,1025341,5004w00002pkbh6AAA,24-00284184,SW-Dirty Alley,Email,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"400 BLK GRINDALL ST, Baltimore City, 21230",21230,Federal Hill,11,Southern,934,39.278073176227728,-76.607668215968317,"(39.278073176227728, -76.607668215968317)",0,0,P5OS28OBbXnTwmXGfnIwBCLQqyknJYEIDTdqtgpxWDs=,2
18,1025359,5004w00002pkbiYAAQ,24-00284194,SW-Dirty Alley,Email,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"1600 N BENTALOU ST, Baltimore City, 21216",21216,Coppin Heights/Ash-Co-East,7,Western,721,39.306491006228171,-76.654133578881797,"(39.306491006228171, -76.654133578881797)",0,0,shlNrJ8UpHNvfijvoIFeNaE247xXvO2V87LdcpBN4ss=,2
19,1025380,5004w00002pkbKNAAY,24-00284055,SW-Dirty Alley,Phone,1712188800000,Closed,1712275200000,1713139200000,1712275200000,Solid Waste,Service Response,1712275200000,SR assessed and no cause for action determined,"4650 PIMLICO RD, Baltimore City, 21215",21215,Central Park Heights,6,Northern,533,39.344193414194116,-76.668210985951632,"(39.344193414194116, -76.668210985951632)",0,0,0DQGTJiEOa47VEJF0q3ftoMrAYDAbY/9Ojx0WgpNQTc=,1
20,1025381,5004w00002pkbkoAAA,24-00284210,SW-Dirty Street,Phone,1712188800000,Closed,1712275200000,1713139200000,1712275200000,Solid Waste,Service Response,1712275200000,Work completed,"3822 BAYONNE AVE, Baltimore City, 21206",21206,Hamilton,2,Northeastern,425,39.346762722760616,-76.547759620611586,"(39.346762722760616, -76.547759620611586)",0,0,pRitoz4Vvey+6CyiYE73AEhQAK31LSOnvuj1n0vArOo=,1
21,1025384,5004w00002pkbkuAAA,24-00284235,SW-Dirty Alley,API,1712188800000,Closed (Duplicate),1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"106 S DEAN ST, Baltimore City, 21224",21224,Baltimore Highlands,2,Southeastern,214,39.290584078222864,-76.566825682679948,"(39.290584078222864, -76.566825682679948)",0,0,AI9fyW1JrG89PLzM+poGJCqWzXbHBmmXE9lDfG4RqYY=,2
22,1025411,5004w00002pkbn4AAA,24-00284231,SW-Dirty Alley,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"107 S DEAN ST, Baltimore City, 21224",21224,Baltimore Highlands,2,Southeastern,214,39.290609037885652,-76.566654369508640,"(39.290609037885652, -76.566654369508640)",0,0,LmmmZpU0+zTPRxikPAC4Zknhj5fDxmgKPazBVqUkHHQ=,2
23,1025431,5004w00002pkbOiAAI,24-00284052,SW-Dirty Alley,Phone,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"2919 FENDALL RD, Baltimore City, 21207",21207,Howard Park,8,Northwestern,622,39.327055828868104,-76.705699775952496,"(39.327055828868104, -76.705699775952496)",0,0,+/9UYBrN/fjTe2awOoLv9ODXLTgfuVxWODz+Qn+ifoo=,2
24,1025437,5004w00002pkboRAAQ,24-00284247,SW-Dirty Alley,Phone,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"1500 TRACTION ST, Baltimore City, 21217",21217,Penn North,7,Western,733,39.311085366423278,-76.642499959235778,"(39.311085366423278, -76.642499959235778)",0,0,1obsIRQ81zQnho7rmGCJKjq26IDh6T3BVahlkn0Khb0=,2
25,1025444,5004w00002pkbp0AAA,24-00284250,SW-Dirty Street,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"200 BLK S DEAN ST, Baltimore City, 21224",21224,Highlandtown,2,Southeastern,212,39.288865649444084,-76.566623588591455,"(39.288865649444084, -76.566623588591455)",0,0,FLyvdsnH9upfYQj07cnDUUiUV0XEUHlArTukAurva8g=,2
26,1025522,5004w00002pkbtvAAA,24-00284295,SW-Dirty Street,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,SR assessed and no cause for action determined,"3700 MOUNT PLEASANT AVE, Baltimore City, 21224",21224,Baltimore Highlands,2,Southeastern,214,39.291068119663905,-76.566705646207282,"(39.291068119663905, -76.566705646207282)",0,0,L2IW74l3APqLJxn7Nvq0KwnyO3jHhIx09KZscAM/lls=,2
27,1025552,5004w00002pkbW3AAI,24-00284105,SW-Dirty Alley,Email,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"2700 BAKER ST, Baltimore City, 21216",21216,Coppin Heights/Ash-Co-East,7,Western,721,39.306318928844782,-76.661021008430836,"(39.306318928844782, -76.661021008430836)",0,0,Nm33SGJ8IwMdDetZ7S2qweYXyr54YWvqLQvJNEf/yDU=,2
28,1025569,5004w00002pkbXLAAY,24-00284109,SW-Dirty Alley,Email,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,SR assessed and no cause for action determined,"3000 BELMONT AVE, Baltimore City, 21216",21216,Rosemont,9,Northwestern,615,39.303674997866530,-76.667375431788628,"(39.303674997866530, -76.667375431788628)",0,0,lgC7c6lf5nUnppAl8M87JdPYld93AnARPxwJ1/ibvuA=,2
29,1025574,5004w00002pkbXzAAI,24-00284112,SW-Dirty Alley,Email,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"400 DENISON ST, Baltimore City, 21229",21229,Allendale,8,Southwestern,821,39.292104297427926,-76.674760330288251,"(39.292104297427926, -76.674760330288251)",0,0,LPMjbIkr6Qpl4tIFSm+2E/kwpZcC2KJDRmc1wm+CHgE=,2
30,1025582,5004w00002pkbYiAAI,24-00284119,SW-Dirty Alley,Email,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"300 DENISON ST, Baltimore City, 21229",21229,Allendale,8,Southwestern,821,39.290826143085596,-76.674733146961458,"(39.290826143085596, -76.674733146961458)",0,0,8PJ7aEo2GY7EV9j00G/F+lB1V2A7TROnrmmhU8t/TtE=,2
31,1025597,5004w00002pkbZlAAI,24-00284126,SW-Dirty Alley,API,1712188800000,Closed (Duplicate),1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"2919 FENDALL RD, Baltimore City, 21207",21207,Howard Park,8,Northwestern,622,39.327055828868104,-76.705699775952496,"(39.327055828868104, -76.705699775952496)",0,0,xtn+Tm9fls1bh3cD8ZBkBhTEN2TthonAcQV+sPlp7b4=,2
32,1025602,5004w00002pkbZWAAY,24-00284124,SW-Dirty Alley,Email,1712188800000,Closed,1712275200000,1713139200000,1712275200000,Solid Waste,Service Response,1712275200000,Work completed,"2100 W FAYETTE ST, Baltimore City, 21223",21223,Penrose/Fayette Street Outreach,9,Southwestern,824,39.289520570910973,-76.650295874161017,"(39.289520570910973, -76.650295874161017)",0,0,+/flrntTT1FGFpFDTJZr0eUa0WXUtfbEUxmT0Llv+RY=,1
33,1025604,5004w00002pkbZYAAY,24-00284177,SW-Dirty Street,Email,1712188800000,Closed,1712275200000,1713139200000,1712275200000,Solid Waste,Service Response,1712275200000,Work completed,"2500 W LOMBARD ST, Baltimore City, 21223",21223,Shipley Hill,9,Southwestern,823,39.285895049533345,-76.656362537188542,"(39.285895049533345, -76.656362537188542)",0,0,ZBFTmFL4sDVXeVB1S617jNmEvUfeotWzs0Uk2Vfm6xM=,1
34,1025629,5004w00002pkc4KAAQ,24-00284366,SW-Dirty Alley,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"3815 MOUNT PLEASANT AVE, Baltimore City, 21224",21224,Baltimore Highlands,2,Southeastern,214,39.290817019441867,-76.564823871926706,"(39.290817019441867, -76.564823871926706)",0,0,4qngMXs9SdGW+zh3eZcMERfvtAS9H0J3FpeYietl+Lo=,2
35,1025637,5004w00002pkc5wAAA,24-00284376,SW-Dirty Street,Phone,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"ETTING ST & TRACTION ST, Baltimore City, 21217",21217,Penn North,7,Western,733,39.311626216134073,-76.641598611103689,"(39.311626216134073, -76.641598611103689)",0,0,QBiEeYDAv4WhfSdvcE+QKXR+JJczAmz+JRPU2qjrkYE=,2
36,1025648,5004w00002pkc87AAA,24-00284388,SW-Dirty Alley,API,1712188800000,Closed (Duplicate),1712275200000,1713139200000,1712275200000,Solid Waste,Service Response,1712275200000,Work completed,"N CLINTON ST & NOBLE ST, Baltimore City, 21224",21224,Patterson Park Neighborhood,1,Southeastern,213,39.292992300817119,-76.570918722516367,"(39.292992300817119, -76.570918722516367)",0,0,5ALVAMox256GujGVMz6ZivZT1TelrAY3L2wDxEvRKyk=,1
37,1025660,5004w00002pkcA3AAI,24-00284400,SW-Dirty Alley,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"104 5 1/2 ST, Baltimore City, 21224",21224,Baltimore Highlands,2,Southeastern,214,39.290624945635813,-76.565050189054801,"(39.290624945635813, -76.565050189054801)",0,0,lwFKuBZs27vAQ+U0UM80ouK4i/9zud1AUDDz4Bfmdl0=,2
38,1025665,5004w00002pkcafAAA,24-00284559,SW-Dirty Street,Phone,1712188800000,Closed,1712275200000,1713139200000,1712275200000,Solid Waste,Service Response,1712275200000,Work completed,"E BELVEDERE AVE & NORTHWOOD DR, Baltimore City, 21212",21212,Chinquapin Park,4,Northeastern,414,39.359850232418289,-76.598675357337839,"(39.359850232418289, -76.598675357337839)",0,0,2CJphju9u5dcXsQv/kWBv9mkhKFN1DY6itxHKCEcTe4=,1
39,1025669,5004w00002pkcArAAI,24-00284407,SW-Dirty Alley,Phone,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"2400 BARCLAY ST, Baltimore City, 21218",21218,Barclay,12,Eastern,313,39.316657578724062,-76.611456188967921,"(39.316657578724062, -76.611456188967921)",0,0,czzPeTmBlKWbdLXk51/+SzxDDh0x0NcLQfF4FbeHkdE=,2
40,1025774,5004w00002pkcikAAA,24-00284625,SW-Dirty Street,Phone,1712188800000,Closed,1712275200000,1713139200000,1712275200000,Solid Waste,Service Response,1712275200000,SR assessed and no cause for action determined,"2505 SHELLYDALE DR, Baltimore City, 21209",21209,Cheswolde,5,Northwestern,636,39.369848523761156,-76.680401614117457,"(39.369848523761156, -76.680401614117457)",0,0,B7ub6QJy5lPyjwLmIPamNfKVC2echdHJRW46fruA0gc=,1
41,1025832,5004w00002pkcMYAAY,24-00284480,SW-Dirty Alley,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"3809 E LOMBARD ST, Baltimore City, 21224",21224,Baltimore Highlands,2,Southeastern,214,39.291348000609077,-76.565066830669252,"(39.291348000609077, -76.565066830669252)",0,0,no94QuIqYnSQpmcRqFfEWv58Z7E9SkOJVMT9ZV0kbH0=,2
42,1025878,5004w00002pkcqYAAQ,24-00284668,SW-Dirty Street,Phone,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"5300 BLK GARDENWOOD RD, Baltimore City, 21206",21206,Frankford,2,Northeastern,435,39.329380310924648,-76.536401704953789,"(39.329380310924648, -76.536401704953789)",0,0,fXT2SgXuxh+OmwzKtpfC01EOqr/xqBy74AnBupCTvBg=,2
43,1025890,5004w00002pkcRUAAY,24-00284507,SW-Dirty Alley,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"11 S JANNEY ST, Baltimore City, 21224",21224,Kresson,2,Southeastern,233,39.292144323379922,-76.560702854203655,"(39.292144323379922, -76.560702854203655)",0,0,LBfV7AzLh2+NTg2zp00stY+mQQbJHuuQh7bvP/i/XEs=,2
44,1025909,5004w00002pkcTKAAY,24-00284513,SW-Dirty Alley,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"147 N MILTON AVE, Baltimore City, 21224",21224,Patterson Park Neighborhood,1,Southeastern,223,39.294112605363210,-76.581817843320309,"(39.294112605363210, -76.581817843320309)",0,0,1ios2SYXoYqv3m8Xnhm2EOEOL4i0VtfaWyxEa+cMd58=,2
45,1025945,5004w00002pkcWJAAY,24-00284534,SW-Dirty Alley,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"500 S STREEPER ST, Baltimore City, 21224",21224,Canton,1,Southeastern,211,39.285902195054135,-76.576631282225776,"(39.285902195054135, -76.576631282225776)",0,0,d4Nv8QGNKLFfGihJQBZCXocojej3ycu1MQT9s/l3rlI=,2
46,1025957,5004w00002pkcxLAAQ,24-00284766,SW-Dirty Alley,Phone,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"300 BLK S CALHOUN-WOODYEAR, Baltimore City, 21223",21223,Mount Clare,9,Southwestern,833,39.283967709452988,-76.638905064277580,"(39.283967709452988, -76.638905064277580)",0,0,NSqnumGbbqjDcijGZLPMoiohqJ0Kt7wZBC2PQjUhdbY=,2
47,1025970,5004w00002pkcyNAAQ,24-00284715,SW-Dirty Alley,Phone,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,SR assessed and no cause for action determined,"245 N MONROE ST, Baltimore City, 21223",21223,Franklin Square,9,Southwestern,824,39.291703361980275,-76.646963222574854,"(39.291703361980275, -76.646963222574854)",0,0,b1cagcpVpZV0vS8cuTH/jGb7O5hD0lHUdo60fYHLzD8=,2
48,1025988,5004w00002pkd0nAAA,24-00284727,SW-Dirty Alley,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"1410 N MONTFORD AVE, Baltimore City, 21213",21213,Broadway East,13,Eastern,323,39.307465707683363,-76.584451216032889,"(39.307465707683363, -76.584451216032889)",0,0,xcwkzQvqDHNHgC9vIr77vQZ6ulHJb/RUdocgrSZcSto=,2
49,1026000,5004w00002pkd2oAAA,24-00284737,SW-Dirty Street,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"632 S BROADWAY, Baltimore City, 21231",21231,Fells Point,1,Central,135,39.283630468460387,-76.593643636092366,"(39.283630468460387, -76.593643636092366)",0,0,W1qKz7UrIfJ1pj4+PrQ+HpBn6jdHoIQjy3EzrIkf2vE=,2
50,1026006,5004w00002pkd3IAAQ,24-00284740,SW-Dirty Street,API,1712188800000,Closed,1712275200000,1713139200000,1712275200000,Solid Waste,Service Response,1712275200000,Work completed,"1000 HAVERHILL RD, Baltimore City, 21229",21229,Violetville,10,Southern,925,39.269197893141531,-76.679554489176752,"(39.269197893141531, -76.679554489176752)",0,0,uG/S++vD+Vpqkcf8Grrw9mHo1SbGoHI3g+sp8nP8Yjk=,1
51,1026144,5004w00002pkdHUAAY,24-00284828,SW-Dirty Alley,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"437 N MILTON AVE, Baltimore City, 21224",21224,McElderry Park,13,Southeastern,224,39.296373337786939,-76.581963126380160,"(39.296373337786939, -76.581963126380160)",0,0,DRm1yIEdrOpFVgAyYMwDkLoyf9cDYfl5O5SN1lfSRis=,2
52,1026240,5004w00002pkdoJAAQ,24-00285066,SW-Dirty Street,Phone,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,SR assessed and no cause for action determined,"5000 DELAGRANGE AVE, Baltimore City, 21205",21205,Armistead Gardens,13,Eastern,335,39.307938641839954,-76.555058897011648,"(39.307938641839954, -76.555058897011648)",0,0,nUOcWXzrr2anfyDMU1ug8nU7ifp4kFtiLW42Ihq5+Kc=,2
53,1026242,5004w00002pkdOlAAI,24-00284887,SW-Dirty Street,Phone,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,SR assessed and no cause for action determined,"3902 COTTAGE AVE, Baltimore City, 21215",21215,Greenspring,6,Northern,532,39.334381896832809,-76.660972167830607,"(39.334381896832809, -76.660972167830607)",0,0,NkKTGbTWi72c3G1N3XoxgijjZl3IklBq0yr0oLSlF1w=,2
54,1026246,5004w00002pkdosAAA,24-00285071,SW-Dirty Alley,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"2519 ORLEANS ST, Baltimore City, 21224",21224,McElderry Park,13,Southeastern,224,39.295514368938612,-76.581104025105191,"(39.295514368938612, -76.581104025105191)",0,0,uLlceWyGtD1Qlb+fm4Ycbaqo96PVzHN56cw0EXSf6NY=,2
55,1026247,5004w00002pkdoUAAQ,24-00285209,SW-Dirty Alley,Phone,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"400 N MONTFORD AVE, Baltimore City, 21224",21224,McElderry Park,13,Southeastern,224,39.295900971961345,-76.583724657271432,"(39.295900971961345, -76.583724657271432)",0,0,J5JEb6P84RlA7vWycuWGe+TbbJ5nJh64oEEiW6dv0xM=,2
56,1026252,5004w00002pkdoYAAQ,24-00285068,SW-Dirty Alley,Phone,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"446 N LINWOOD AVE, Baltimore City, 21224",21224,McElderry Park,13,Southeastern,224,39.296842332250989,-76.576674133279425,"(39.296842332250989, -76.576674133279425)",0,0,1DRzXqkWfHNKbkbTj8Qpj51BxKx0mAIdj7T59iMzkBc=,2
57,1026262,5004w00002pkdPiAAI,24-00284888,SW-Dirty Alley,Phone,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"EISLEN ST & W BARRE ST, BC, 21230",21230,Washington Village/Pigtown,10,Southern,933,39.282559812023955,-76.627319183951641,"(39.282559812023955, -76.627319183951641)",0,0,eUemlM5MG5DCNGyJf4u4az++R35Xkj9HzX+zLmwHwV0=,2
58,1026332,5004w00002pkdulAAA,24-00285106,SW-Dirty Alley,API,1712188800000,Closed,1712275200000,1713139200000,1712275200000,Solid Waste,Service Response,1712275200000,Work completed,"4112 MARY AVE, Baltimore City, 21206",21206,Hamilton,2,Northeastern,425,39.345301052683851,-76.543230320521261,"(39.345301052683851, -76.543230320521261)",0,0,lgbjLv/Avhyes+T7p5sVYB+l+CkH/kpKuwo9QOv9Cps=,1
59,1026375,5004w00002pkdxBAAQ,24-00285126,SW-Dirty Alley,API,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"2932 ARUNAH AVE, Baltimore City, 21216",21216,Franklintown Road,9,Western,723,39.295363866062026,-76.666035900457459,"(39.295363866062026, -76.666035900457459)",0,0,mWJv9FfdA9hes0LeD8J/+rkdwHd+t3hxrcRnTLbHgfE=,2
60,1026429,5004w00002pke0FAAQ,24-00285152,SW-Dirty Alley,API,1712188800000,Closed (Duplicate),1712275200000,1713139200000,1712275200000,Solid Waste,Service Response,1712275200000,Work completed,"3800 NORFOLK AVE, Baltimore City, 21216",21216,Concerned Citizens of Forest Park,6,Northwestern,612,39.324992690785997,-76.682834012850208,"(39.324992690785997, -76.682834012850208)",0,0,tIALJ1iDRyWaYbh3vh1SpiJhSgnQiTVFtV6vDTEdnSI=,1
61,1026471,5004w00002pke6NAAQ,24-00285188,SW-Dirty Street,Web,1712188800000,Closed,1712361600000,1713139200000,1712361600000,Solid Waste,Service Response,1712361600000,Work completed,"1727 LETITIA AVE, Baltimore City, 21230",21230,Morrell Park,10,Southern,924,39.264557087061263,-76.657367213965529,"(39.264557087061263, -76.657367213965529)",0,0,AV4V2KavsNHyPrIOzN+cPTaVH7A/lUIKeL9KpHDNkVs=,2
